cow_i,cow_j,start_ts,end_ts,zone
11,18,329,928,water_trough
11,18,929,1528,water_trough
11,18,1529,2128,water_trough
11,18,2129,2728,water_trough
11,18,2729,3328,water_trough
11,18,3329,3928,water_trough
11,18,3929,4528,water_trough
11,18,4529,5128,water_trough
11,18,5129,5523,water_trough
6,18,4710,5309,water_trough
6,18,5310,5675,water_trough
2,12,5453,5715,free_area
12,14,3386,3985,water_trough
12,14,3986,4585,water_trough
12,14,4586,5185,water_trough
12,14,5186,5718,water_trough
2,7,1012,1611,free_area
2,7,1612,2211,free_area
2,7,2212,2811,free_area
2,7,2812,3411,free_area
2,7,3412,4011,free_area
2,7,4012,4611,free_area
2,7,4612,5211,free_area
2,7,5212,5752,free_area
7,14,3825,4424,water_trough
7,14,4425,5024,water_trough
7,14,5025,5624,water_trough
7,14,5625,5756,water_trough
7,13,2776,3375,water_trough
7,13,3376,3975,water_trough
7,13,3976,4575,water_trough
7,13,4576,5175,water_trough
7,13,5176,5758,water_trough
14,16,5215,5814,water_trough
14,16,5815,6087,water_trough
9,10,4430,5029,free_area
9,10,5030,5629,free_area
9,10,5630,6147,free_area
2,14,2754,3353,water_trough
2,14,3354,3953,water_trough
2,14,3954,4553,water_trough
2,14,4554,5153,water_trough
2,14,5154,5753,water_trough
2,14,5754,6264,water_trough
2,7,6113,6272,free_area
7,13,5846,6445,water_trough
7,13,6446,6512,water_trough
6,15,1923,2522,water_trough
6,15,2523,3122,water_trough
6,15,3123,3722,water_trough
6,15,3723,4322,water_trough
6,15,4323,4922,water_trough
6,15,4923,5522,water_trough
6,15,5523,6122,water_trough
6,15,6123,6516,water_trough
11,15,5512,6111,water_trough
11,15,6112,6516,water_trough
3,11,4648,5247,water_trough
3,11,5248,5847,water_trough
3,11,5848,6447,water_trough
3,11,6448,6610,water_trough
7,16,6303,6611,water_trough
3,6,4750,5349,water_trough
3,6,5350,5949,water_trough
3,6,5950,6549,water_trough
3,6,6550,6611,water_trough
3,18,2515,3114,water_trough
3,18,3115,3714,water_trough
3,18,3715,4314,water_trough
3,18,4315,4914,water_trough
3,18,4915,5514,water_trough
3,18,5515,6114,water_trough
3,18,6115,6690,water_trough
6,15,6624,6694,water_trough
12,16,6617,6736,water_trough
13,14,4789,5388,water_trough
13,14,5389,5988,water_trough
13,14,5989,6588,water_trough
13,14,6589,6789,water_trough
2,14,6270,6795,free_area
14,16,6796,6935,water_trough
4,17,4779,5378,resting_bunk_5
4,17,5379,5978,resting_bunk_5
4,17,5979,6578,resting_bunk_5
4,17,6579,7141,resting_bunk_5
14,19,3650,4249,water_trough
14,19,4250,4849,water_trough
14,19,4850,5449,water_trough
14,19,5450,6049,water_trough
14,19,6050,6649,water_trough
14,19,6650,7223,water_trough
2,19,3038,3637,water_trough
2,19,3638,4237,water_trough
2,19,4238,4837,water_trough
2,19,4838,5437,water_trough
2,19,5438,6037,water_trough
2,19,6038,6637,water_trough
2,19,6638,7224,water_trough
4,17,7180,7281,resting_bunk_5
2,14,6936,7345,free_area
14,16,7022,7346,water_trough
4,17,7283,7430,resting_bunk_5
6,11,1843,2442,water_trough
6,11,2443,3042,water_trough
6,11,3043,3642,water_trough
6,11,3643,4242,water_trough
6,11,4243,4842,water_trough
6,11,4843,5442,water_trough
6,11,5443,6042,water_trough
6,11,6043,6642,water_trough
6,11,6643,7242,water_trough
6,11,7243,7570,water_trough
4,17,7433,7573,resting_bunk_5
9,10,6194,6793,free_area
9,10,6794,7393,free_area
9,10,7394,7636,free_area
2,14,7423,7702,free_area
6,18,6034,6633,water_trough
6,18,6634,7233,water_trough
6,18,7234,7731,water_trough
11,15,6699,7298,water_trough
11,15,7299,7833,water_trough
5,11,1272,1871,water_trough
5,11,1872,2471,water_trough
5,11,2472,3071,water_trough
5,11,3072,3671,water_trough
5,11,3672,4271,water_trough
5,11,4272,4871,water_trough
5,11,4872,5471,water_trough
5,11,5472,6071,water_trough
5,11,6072,6671,water_trough
5,11,6672,7271,water_trough
5,11,7272,7834,water_trough
11,18,5932,6531,water_trough
11,18,6532,7131,water_trough
11,18,7132,7731,water_trough
11,18,7732,7835,water_trough
3,11,6927,7526,water_trough
3,11,7527,7837,water_trough
0,1,1847,2446,resting_bunk_6
0,1,2447,3046,resting_bunk_6
0,1,3047,3646,resting_bunk_6
0,1,3647,4246,resting_bunk_6
0,1,4247,4846,resting_bunk_6
0,1,4847,5446,resting_bunk_6
0,1,5447,6046,resting_bunk_6
0,1,6047,6646,resting_bunk_6
0,1,6647,7246,resting_bunk_6
0,1,7247,7846,resting_bunk_6
0,1,7847,8223,resting_bunk_6
7,12,3709,4308,water_trough
7,12,4309,4908,water_trough
7,12,4909,5508,water_trough
7,12,5509,6108,water_trough
7,12,6109,6708,water_trough
7,12,6709,7308,water_trough
7,12,7309,7908,water_trough
7,12,7909,8353,water_trough
7,19,1088,1687,water_trough
7,19,1688,2287,water_trough
7,19,2288,2887,water_trough
7,19,2888,3487,water_trough
7,19,3488,4087,water_trough
7,19,4088,4687,water_trough
7,19,4688,5287,water_trough
7,19,5288,5887,water_trough
7,19,5888,6487,water_trough
7,19,6488,7087,water_trough
7,19,7088,7687,water_trough
7,19,7688,8287,water_trough
7,19,8288,8354,water_trough
2,19,8206,8425,free_area
0,1,8255,8503,resting_bunk_6
12,14,5853,6452,water_trough
12,14,6453,7052,water_trough
12,14,7053,7652,water_trough
12,14,7653,8252,water_trough
12,14,8253,8557,water_trough
14,19,7706,8305,water_trough
14,19,8306,8557,water_trough
2,7,6278,6877,free_area
2,7,6878,7477,free_area
2,7,7478,8077,free_area
2,7,8078,8603,free_area
2,19,8540,8690,free_area
2,14,8345,8720,free_area
7,19,8610,8992,water_trough
6,18,7783,8382,water_trough
6,18,8383,8982,water_trough
6,18,8983,9110,water_trough
14,19,8733,9167,water_trough
2,14,8726,9184,free_area
13,14,7506,8105,water_trough
13,14,8106,8705,water_trough
13,14,8706,9188,water_trough
12,14,8594,9193,water_trough
7,14,6109,6708,water_trough
7,14,6709,7308,water_trough
7,14,7309,7908,water_trough
7,14,7909,8508,water_trough
7,14,8509,9108,water_trough
7,14,9109,9201,water_trough
0,1,8888,9304,resting_bunk_6
2,7,8607,9206,free_area
2,7,9207,9391,free_area
0,1,9322,9446,resting_bunk_6
13,14,9320,9494,water_trough
2,19,9170,9585,free_area
3,18,6924,7523,water_trough
3,18,7524,8123,water_trough
3,18,8124,8723,water_trough
3,18,8724,9323,water_trough
3,18,9324,9672,water_trough
6,18,9134,9673,water_trough
1,11,7866,8465,resting_bunk_5
1,11,8466,9065,resting_bunk_5
1,11,9066,9665,resting_bunk_5
1,11,9666,9722,resting_bunk_5
15,18,5237,5836,water_trough
15,18,5837,6436,water_trough
15,18,6437,7036,water_trough
15,18,7037,7636,water_trough
15,18,7637,8236,water_trough
15,18,8237,8836,water_trough
15,18,8837,9436,water_trough
15,18,9437,9747,water_trough
14,16,9226,9793,resting_bunk_2
14,19,9586,9796,resting_bunk_2
13,14,9658,9798,water_trough
12,14,9222,9803,water_trough
2,7,9393,9992,free_area
2,7,9993,10019,free_area
9,10,7706,8305,free_area
9,10,8306,8905,free_area
9,10,8906,9505,free_area
9,10,9506,10105,free_area
9,10,10106,10156,free_area
7,13,6916,7515,water_trough
7,13,7516,8115,water_trough
7,13,8116,8715,water_trough
7,13,8716,9315,water_trough
7,13,9316,9915,water_trough
7,13,9916,10159,water_trough
7,12,8609,9208,water_trough
7,12,9209,9808,water_trough
7,12,9809,10160,water_trough
7,13,10205,10274,water_trough
2,13,2905,3504,water_trough
2,13,3505,4104,water_trough
2,13,4105,4704,water_trough
2,13,4705,5304,water_trough
2,13,5305,5904,water_trough
2,13,5905,6504,water_trough
2,13,6505,7104,water_trough
2,13,7105,7704,water_trough
2,13,7705,8304,water_trough
2,13,8305,8904,water_trough
2,13,8905,9504,water_trough
2,13,9505,10104,water_trough
2,13,10105,10280,water_trough
11,18,10082,10444,free_area
12,13,5452,6051,water_trough
12,13,6052,6651,water_trough
12,13,6652,7251,water_trough
12,13,7252,7851,water_trough
12,13,7852,8451,water_trough
12,13,8452,9051,water_trough
12,13,9052,9651,water_trough
12,13,9652,10251,water_trough
12,13,10252,10448,water_trough
7,14,9214,9813,water_trough
7,14,9814,10413,water_trough
7,14,10414,10533,water_trough
14,16,9845,10444,resting_bunk_2
14,16,10445,10603,resting_bunk_2
7,14,10606,10712,free_area
14,19,10678,10786,free_area
7,12,10205,10789,water_trough
7,13,10627,10856,free_area
7,14,10802,10900,free_area
7,19,9248,9847,water_trough
7,19,9848,10447,water_trough
7,19,10448,10902,water_trough
13,14,10681,10965,water_trough
13,19,1345,1944,free_area
13,19,1945,2544,free_area
13,19,2545,3144,free_area
13,19,3145,3744,free_area
13,19,3745,4344,free_area
13,19,4345,4944,free_area
13,19,4945,5544,free_area
13,19,5545,6144,free_area
13,19,6145,6744,free_area
13,19,6745,7344,free_area
13,19,7345,7944,free_area
13,19,7945,8544,free_area
13,19,8545,9144,free_area
13,19,9145,9744,free_area
13,19,9745,10344,free_area
13,19,10345,10944,free_area
13,19,10945,10980,free_area
7,14,10972,11072,free_area
2,13,10452,11051,free_area
2,13,11052,11085,free_area
2,14,10796,11150,free_area
12,13,10452,11051,water_trough
12,13,11052,11233,water_trough
14,19,10789,11245,water_trough
11,18,10506,11105,free_area
11,18,11106,11372,free_area
15,18,9950,10549,water_trough
15,18,10550,11149,water_trough
15,18,11150,11373,water_trough
12,14,10612,11211,water_trough
12,14,11212,11543,water_trough
2,12,6027,6626,free_area
2,12,6627,7226,free_area
2,12,7227,7826,free_area
2,12,7827,8426,free_area
2,12,8427,9026,free_area
2,12,9027,9626,free_area
2,12,9627,10226,free_area
2,12,10227,10826,free_area
2,12,10827,11426,free_area
2,12,11427,11547,free_area
2,7,10206,10805,free_area
2,7,10806,11405,free_area
2,7,11406,11555,free_area
13,14,11170,11588,free_area
4,17,7628,8227,resting_bunk_5
4,17,8228,8827,resting_bunk_5
4,17,8828,9427,resting_bunk_5
4,17,9428,10027,resting_bunk_5
4,17,10028,10627,resting_bunk_5
4,17,10628,11227,resting_bunk_5
4,17,11228,11596,resting_bunk_5
6,11,9743,10342,water_trough
6,11,10343,10942,water_trough
6,11,10943,11542,water_trough
6,11,11543,11633,water_trough
6,15,6698,7297,water_trough
6,15,7298,7897,water_trough
6,15,7898,8497,water_trough
6,15,8498,9097,water_trough
6,15,9098,9697,water_trough
6,15,9698,10297,water_trough
6,15,10298,10897,water_trough
6,15,10898,11497,water_trough
6,15,11498,11698,water_trough
4,17,11646,11735,resting_bunk_5
11,18,11604,11768,free_area
13,14,11618,11775,resting_bunk_3
13,16,11624,11785,resting_bunk_3
12,16,11624,11808,water_trough
15,18,11601,11849,water_trough
13,16,11923,12180,resting_bunk_3
6,18,9952,10551,water_trough
6,18,10552,11151,water_trough
6,18,11152,11751,water_trough
6,18,11752,12223,water_trough
2,14,11779,12313,free_area
15,18,11936,12535,water_trough
15,18,12536,12549,water_trough
11,18,12054,12552,free_area
13,16,12231,12634,resting_bunk_3
0,1,9548,10147,resting_bunk_6
0,1,10148,10747,resting_bunk_6
0,1,10748,11347,resting_bunk_6
0,1,11348,11947,resting_bunk_6
0,1,11948,12547,resting_bunk_6
0,1,12548,12785,resting_bunk_6
13,16,12674,12825,resting_bunk_3
13,14,12572,12930,resting_bunk_3
9,10,10372,10971,free_area
9,10,10972,11571,free_area
9,10,11572,12171,free_area
9,10,12172,12771,free_area
9,10,12772,13131,free_area
13,14,12957,13153,free_area
13,19,13095,13277,free_area
2,14,13143,13374,free_area
13,19,13339,13466,free_area
12,13,13092,13508,water_trough
13,19,13513,13584,free_area
9,10,13134,13602,free_area
0,1,12793,13392,resting_bunk_6
0,1,13393,13742,resting_bunk_6
14,16,13605,14030,water_trough
14,19,11801,12400,water_trough
14,19,12401,13000,water_trough
14,19,13001,13600,water_trough
14,19,13601,14046,water_trough
13,14,13395,13994,free_area
13,14,13995,14048,free_area
12,14,11552,12151,water_trough
12,14,12152,12751,water_trough
12,14,12752,13351,water_trough
12,14,13352,13951,water_trough
12,14,13952,14049,water_trough
12,19,3557,4156,water_trough
12,19,4157,4756,water_trough
12,19,4757,5356,water_trough
12,19,5357,5956,water_trough
12,19,5957,6556,water_trough
12,19,6557,7156,water_trough
12,19,7157,7756,water_trough
12,19,7757,8356,water_trough
12,19,8357,8956,water_trough
12,19,8957,9556,water_trough
12,19,9557,10156,water_trough
12,19,10157,10756,water_trough
12,19,10757,11356,water_trough
12,19,11357,11956,water_trough
12,19,11957,12556,water_trough
12,19,12557,13156,water_trough
12,19,13157,13756,water_trough
12,19,13757,14052,water_trough
2,12,11552,12151,free_area
2,12,12152,12751,free_area
2,12,12752,13351,free_area
2,12,13352,13951,free_area
2,12,13952,14053,free_area
11,15,9743,10342,free_area
11,15,10343,10942,free_area
11,15,10943,11542,free_area
11,15,11543,12142,free_area
11,15,12143,12742,free_area
11,15,12743,13342,free_area
11,15,13343,13942,free_area
11,15,13943,14086,free_area
6,15,12271,12870,water_trough
6,15,12871,13470,water_trough
6,15,13471,14070,water_trough
6,15,14071,14087,water_trough
6,18,12268,12867,water_trough
6,18,12868,13467,water_trough
6,18,13468,14067,water_trough
6,18,14068,14191,water_trough
11,18,12555,13154,water_trough
11,18,13155,13754,water_trough
11,18,13755,14334,water_trough
2,14,13378,13977,free_area
2,14,13978,14400,free_area
4,17,11737,12336,resting_bunk_5
4,17,12337,12936,resting_bunk_5
4,17,12937,13536,resting_bunk_5
4,17,13537,14136,resting_bunk_5
4,17,14137,14622,resting_bunk_5
2,12,14117,14667,free_area
12,19,14118,14717,water_trough
12,19,14718,14813,water_trough
1,11,13783,14382,free_area
1,11,14383,14879,free_area
4,17,14631,15056,resting_bunk_5
2,19,9792,10391,free_area
2,19,10392,10991,free_area
2,19,10992,11591,free_area
2,19,11592,12191,free_area
2,19,12192,12791,free_area
2,19,12792,13391,free_area
2,19,13392,13991,free_area
2,19,13992,14591,free_area
2,19,14592,15095,free_area
12,16,14862,15124,water_trough
12,16,15142,15240,water_trough
14,19,14694,15293,free_area
14,19,15294,15348,free_area
1,11,14946,15545,water_trough
1,11,15546,15744,water_trough
1,18,14453,15052,water_trough
1,18,15053,15652,water_trough
1,18,15653,15745,water_trough
13,16,15279,15797,water_trough
14,19,15525,16062,free_area
11,18,14660,15259,water_trough
11,18,15260,15859,water_trough
11,18,15860,16430,water_trough
1,18,15781,16380,water_trough
1,18,16381,16453,water_trough
1,15,14331,14930,water_trough
1,15,14931,15530,water_trough
1,15,15531,16130,water_trough
1,15,16131,16456,water_trough
6,18,14571,15170,water_trough
6,18,15171,15770,water_trough
6,18,15771,16370,water_trough
6,18,16371,16574,water_trough
13,14,15853,16452,water_trough
13,14,16453,16620,water_trough
12,19,15521,16120,water_trough
12,19,16121,16621,water_trough
2,12,15317,15916,free_area
2,12,15917,16516,free_area
2,12,16517,16622,free_area
9,10,13930,14529,free_area
9,10,14530,15129,free_area
9,10,15130,15729,free_area
9,10,15730,16329,free_area
9,10,16330,16717,free_area
12,13,13669,14268,water_trough
12,13,14269,14868,water_trough
12,13,14869,15468,water_trough
12,13,15469,16068,water_trough
12,13,16069,16668,water_trough
12,13,16669,16718,water_trough
2,13,14052,14651,free_area
2,13,14652,15251,free_area
2,13,15252,15851,free_area
2,13,15852,16451,free_area
2,13,16452,16894,free_area
4,17,15203,15802,resting_bunk_5
4,17,15803,16402,resting_bunk_5
4,17,16403,16916,resting_bunk_5
4,17,16986,17070,resting_bunk_5
12,14,15852,16451,water_trough
12,14,16452,17051,water_trough
12,14,17052,17309,water_trough
6,18,16607,17206,water_trough
6,18,17207,17370,water_trough
11,18,16730,17329,water_trough
11,18,17330,17370,water_trough
1,18,16675,17274,water_trough
1,18,17275,17373,water_trough
3,18,9953,10552,water_trough
3,18,10553,11152,water_trough
3,18,11153,11752,water_trough
3,18,11753,12352,water_trough
3,18,12353,12952,water_trough
3,18,12953,13552,water_trough
3,18,13553,14152,water_trough
3,18,14153,14752,water_trough
3,18,14753,15352,water_trough
3,18,15353,15952,water_trough
3,18,15953,16552,water_trough
3,18,16553,17152,water_trough
3,18,17153,17449,water_trough
6,15,14433,15032,water_trough
6,15,15033,15632,water_trough
6,15,15633,16232,water_trough
6,15,16233,16832,water_trough
6,15,16833,17432,water_trough
6,15,17433,17541,water_trough
9,10,16904,17503,free_area
9,10,17504,17674,free_area
11,15,14197,14796,water_trough
11,15,14797,15396,water_trough
11,15,15397,15996,water_trough
11,15,15997,16596,water_trough
11,15,16597,17196,water_trough
11,15,17197,17691,water_trough
5,18,183,782,water_trough
5,18,783,1382,water_trough
5,18,1383,1982,water_trough
5,18,1983,2582,water_trough
5,18,2583,3182,water_trough
5,18,3183,3782,water_trough
5,18,3783,4382,water_trough
5,18,4383,4982,water_trough
5,18,4983,5582,water_trough
5,18,5583,6182,water_trough
5,18,6183,6782,water_trough
5,18,6783,7382,water_trough
5,18,7383,7982,water_trough
5,18,7983,8582,water_trough
5,18,8583,9182,water_trough
5,18,9183,9782,water_trough
5,18,9783,10382,water_trough
5,18,10383,10982,water_trough
5,18,10983,11582,water_trough
5,18,11583,12182,water_trough
5,18,12183,12782,water_trough
5,18,12783,13382,water_trough
5,18,13383,13982,water_trough
5,18,13983,14582,water_trough
5,18,14583,15182,water_trough
5,18,15183,15782,water_trough
5,18,15783,16382,water_trough
5,18,16383,16982,water_trough
5,18,16983,17582,water_trough
5,18,17583,17693,water_trough
15,18,12700,13299,water_trough
15,18,13300,13899,water_trough
15,18,13900,14499,water_trough
15,18,14500,15099,water_trough
15,18,15100,15699,water_trough
15,18,15700,16299,water_trough
15,18,16300,16899,water_trough
15,18,16900,17499,water_trough
15,18,17500,17697,water_trough
1,6,13919,14518,free_area
1,6,14519,15118,free_area
1,6,15119,15718,free_area
1,6,15719,16318,free_area
1,6,16319,16918,free_area
1,6,16919,17518,free_area
1,6,17519,17833,free_area
1,11,16086,16685,water_trough
1,11,16686,17285,water_trough
1,11,17286,17885,water_trough
1,11,17886,18000,water_trough
2,13,16988,17587,free_area
2,13,17588,18123,free_area
13,14,17644,18123,water_trough
2,19,15525,16124,free_area
2,19,16125,16724,free_area
2,19,16725,17324,free_area
2,19,17325,17924,free_area
2,19,17925,18207,free_area
12,14,17844,18356,water_trough
1,11,18129,18421,water_trough
1,6,18171,18656,water_trough
4,17,17078,17677,resting_bunk_5
4,17,17678,18277,resting_bunk_5
4,17,18278,18743,resting_bunk_5
14,19,17368,17967,free_area
14,19,17968,18567,free_area
14,19,18568,18902,free_area
2,12,16723,17322,free_area
2,12,17323,17922,free_area
2,12,17923,18522,free_area
2,12,18523,18915,free_area
13,16,18582,18968,water_trough
12,13,16724,17323,water_trough
12,13,17324,17923,water_trough
12,13,17924,18523,water_trough
12,13,18524,19037,water_trough
13,19,14143,14742,water_trough
13,19,14743,15342,water_trough
13,19,15343,15942,water_trough
13,19,15943,16542,water_trough
13,19,16543,17142,water_trough
13,19,17143,17742,water_trough
13,19,17743,18342,water_trough
13,19,18343,18942,water_trough
13,19,18943,19293,water_trough
4,17,18745,19344,resting_bunk_5
4,17,19345,19406,resting_bunk_5
13,14,19295,19430,water_trough
12,16,18915,19514,water_trough
12,16,19515,19558,water_trough
1,6,18658,19257,water_trough
1,6,19258,19857,water_trough
1,6,19858,19892,water_trough
2,12,19558,19993,free_area
6,18,19944,20024,water_trough
13,16,19498,20097,resting_bunk_3
12,14,19717,20126,water_trough
16,19,20129,20310,free_area
16,19,20362,20530,free_area
12,19,16722,17321,water_trough
12,19,17322,17921,water_trough
12,19,17922,18521,water_trough
12,19,18522,19121,water_trough
12,19,19122,19721,water_trough
12,19,19722,20321,water_trough
12,19,20322,20531,water_trough
6,15,18099,18698,water_trough
6,15,18699,19298,water_trough
6,15,19299,19898,water_trough
6,15,19899,20498,water_trough
6,15,20499,20612,water_trough
1,15,16458,17057,water_trough
1,15,17058,17657,water_trough
1,15,17658,18257,water_trough
1,15,18258,18857,water_trough
1,15,18858,19457,water_trough
1,15,19458,20057,water_trough
1,15,20058,20642,water_trough
11,15,17966,18565,water_trough
11,15,18566,19165,water_trough
11,15,19166,19765,water_trough
11,15,19766,20365,water_trough
11,15,20366,20725,water_trough
4,17,19490,20089,resting_bunk_5
4,17,20090,20689,resting_bunk_5
4,17,20690,20797,resting_bunk_5
1,6,20025,20624,water_trough
1,6,20625,20821,water_trough
9,10,18571,19170,free_area
9,10,19171,19770,free_area
9,10,19771,20370,free_area
9,10,20371,20874,free_area
11,15,20727,20905,water_trough
14,19,20188,20787,free_area
14,19,20788,21043,free_area
1,15,20671,21045,water_trough
5,15,49,648,water_trough
5,15,649,1248,water_trough
5,15,1249,1848,water_trough
5,15,1849,2448,water_trough
5,15,2449,3048,water_trough
5,15,3049,3648,water_trough
5,15,3649,4248,water_trough
5,15,4249,4848,water_trough
5,15,4849,5448,water_trough
5,15,5449,6048,water_trough
5,15,6049,6648,water_trough
5,15,6649,7248,water_trough
5,15,7249,7848,water_trough
5,15,7849,8448,water_trough
5,15,8449,9048,water_trough
5,15,9049,9648,water_trough
5,15,9649,10248,water_trough
5,15,10249,10848,water_trough
5,15,10849,11448,water_trough
5,15,11449,12048,water_trough
5,15,12049,12648,water_trough
5,15,12649,13248,water_trough
5,15,13249,13848,water_trough
5,15,13849,14448,water_trough
5,15,14449,15048,water_trough
5,15,15049,15648,water_trough
5,15,15649,16248,water_trough
5,15,16249,16848,water_trough
5,15,16849,17448,water_trough
5,15,17449,18048,water_trough
5,15,18049,18648,water_trough
5,15,18649,19248,water_trough
5,15,19249,19848,water_trough
5,15,19849,20448,water_trough
5,15,20449,21045,water_trough
3,15,2991,3590,water_trough
3,15,3591,4190,water_trough
3,15,4191,4790,water_trough
3,15,4791,5390,water_trough
3,15,5391,5990,water_trough
3,15,5991,6590,water_trough
3,15,6591,7190,water_trough
3,15,7191,7790,water_trough
3,15,7791,8390,water_trough
3,15,8391,8990,water_trough
3,15,8991,9590,water_trough
3,15,9591,10190,water_trough
3,15,10191,10790,water_trough
3,15,10791,11390,water_trough
3,15,11391,11990,water_trough
3,15,11991,12590,water_trough
3,15,12591,13190,water_trough
3,15,13191,13790,water_trough
3,15,13791,14390,water_trough
