week,pen_id,cow_id,degree,betweenness,eigenvector,interaction_count,degree_delta,betweenness_delta,eigenvector_delta
3,1,19,0.16666666666666666,0.0,0.0009066448607770995,1,0.0,0.0,0.0
0,2,0,0.7142857142857142,0.8571428571428571,0.00355341726480145,5,,,
1,2,0,0.0,0.0,1.1911279196049012e-90,0,-0.7142857142857142,-0.8571428571428571,-0.00355341726480145
2,2,0,0.0,0.0,1.1911279196049012e-90,0,0.0,0.0,0.0
3,2,0,0.0,0.0,1.1999964058205188e-90,0,0.0,0.0,8.868486215617603e-93
0,2,1,1.0,0.0,0.4076316602235709,7,,,
1,2,1,0.5714285714285714,0.015873015873015872,0.40916686648528666,4,-0.4285714285714286,0.015873015873015872,0.0015352062617157713
2,2,1,0.5714285714285714,0.015873015873015872,0.40916686648528666,4,0.0,0.0,0.0
3,2,1,0.5714285714285714,0.047619047619047616,0.40909034016859613,4,0.0,0.031746031746031744,-7.652631669052834e-05
0,2,3,1.0,0.0,0.47630900255109193,7,,,
1,2,3,0.7142857142857142,0.055555555555555546,0.4734826780100765,5,-0.2857142857142858,0.055555555555555546,-0.002826324541015446
2,2,3,0.7142857142857142,0.055555555555555546,0.4734826780100765,5,0.0,0.0,0.0
3,2,3,0.7142857142857142,0.09523809523809523,0.47351125443656195,5,0.0,0.03968253968253969,2.8576426485460438e-05
0,2,5,0.8571428571428571,0.0,0.4026509914650139,6,,,
1,2,5,0.5714285714285714,0.015873015873015872,0.40916686648528666,4,-0.2857142857142857,0.015873015873015872,0.006515875020272788
2,2,5,0.5714285714285714,0.015873015873015872,0.40916686648528666,4,0.0,0.0,0.0
3,2,5,0.5714285714285714,0.0,0.409116493098221,4,0.0,-0.015873015873015872,-5.0373387065649755e-05
0,2,6,1.0,0.0,0.33919260655980416,7,,,
1,2,6,0.42857142857142855,0.0,0.3292364332740499,3,-0.5714285714285714,0.0,-0.009956173285754266
2,2,6,0.42857142857142855,0.0,0.3292364332740499,3,0.0,0.0,0.0
3,2,6,0.42857142857142855,0.0,0.3292078506337855,3,0.0,0.0,-2.8582640264396275e-05
0,2,11,1.0,0.0,0.46235816265508484,7,,,
1,2,11,0.7142857142857142,0.055555555555555546,0.4734826780100765,5,-0.2857142857142858,0.055555555555555546,0.011124515354991649
2,2,11,0.7142857142857142,0.055555555555555546,0.4734826780100765,5,0.0,0.0,0.0
3,2,11,0.7142857142857142,0.0,0.47352719050325587,5,0.0,-0.055555555555555546,4.451249317938277e-05
0,2,15,1.0,0.47619047619047616,0.035390832494652774,7,,,
1,2,15,0.0,0.0,1.1911279196049012e-90,0,-1.0,-0.47619047619047616,-0.035390832494652774
2,2,15,0.0,0.0,1.1911279196049012e-90,0,0.0,0.0,0.0
3,2,15,0.0,0.0,1.1999964058205188e-90,0,0.0,0.0,8.868486215617603e-93
0,2,18,0.8571428571428571,0.0,0.3387425423929774,6,,,
1,2,18,0.42857142857142855,0.0,0.3292364332740499,3,-0.42857142857142855,0.0,-0.00950610911892752
2,2,18,0.42857142857142855,0.0,0.3292364332740499,3,0.0,0.0,0.0
3,2,18,0.42857142857142855,0.0,0.32931758457884597,3,0.0,0.0,8.11513047960788e-05
0,3,8,1.0,1.0,0.5773502691896258,2,,,
1,3,8,0.0,0.0,1.9395851689242335e-12,0,-1.0,-1.0,-0.5773502691876863
2,3,8,0.0,0.0,1.9395851689242335e-12,0,0.0,0.0,0.0
3,3,8,0.0,0.0,1.9399000160448606e-12,0,0.0,0.0,3.1484712062709916e-16
0,3,9,1.0,0.0,0.5773502691896258,2,,,
1,3,9,0.5,0.0,0.7071067811865476,1,-0.5,0.0,0.12975651199692173
2,3,9,0.5,0.0,0.7071067811865476,1,0.0,0.0,0.0
3,3,9,0.5,0.0,0.7071067811865475,1,0.0,0.0,-1.1102230246251565e-16
0,3,10,1.0,0.0,0.5773502691896258,2,,,
1,3,10,0.5,0.0,0.7071067811865476,1,-0.5,0.0,0.12975651199692173
2,3,10,0.5,0.0,0.7071067811865476,1,0.0,0.0,0.0
3,3,10,0.5,0.0,0.7071067811865475,1,0.0,0.0,-1.1102230246251565e-16
