cow_id,degree,strength,betweenness,eigenvector,pen_id,week,degree_delta,strength_delta,betweenness_delta,eigenvector_delta
6,3,1811376,0.0,0.32923618721820397,2,1,-4.0,-10697.0,0.0,-0.00995616967782309
6,3,1811376,0.0,0.32923618721820375,2,2,0.0,0.0,0.0,-2.220446049250313e-16
6,3,1810220,0.0,0.32920760506926167,2,3,0.0,-1156.0,0.0,-2.858214894208011e-05
7,6,599650,0.8,0.06729732150724661,1,0,0.0,0.0,0.0,0.0
7,1,603792,0.0,0.0,1,1,-5.0,4142.0,-0.8,-0.06729732150724661
7,1,603792,0.0,0.0,1,2,0.0,0.0,0.0,0.0
7,1,603400,0.0,0.0,1,3,0.0,-392.0,0.0,0.0
8,2,11533,1.0,0.016235345421016532,3,0,0.0,0.0,0.0,0.0
9,2,503855,0.0,0.7069481396982195,3,0,0.0,0.0,0.0,0.0
9,1,603792,0.0,0.0,3,1,-1.0,99937.0,0.0,-0.7069481396982195
9,1,603792,0.0,0.0,3,2,0.0,0.0,0.0,0.0
9,1,603743,0.0,0.0,3,3,0.0,-49.0,0.0,0.0
10,2,511952,0.0,0.707079020574283,3,0,0.0,0.0,0.0,0.0
10,1,603792,0.0,0.0,3,1,-1.0,91840.0,0.0,-0.707079020574283
10,1,603792,0.0,0.0,3,2,0.0,0.0,0.0,0.0
10,1,603743,0.0,0.0,3,3,0.0,-49.0,0.0,0.0
11,7,2845688,0.0,0.46235837079340963,2,0,0.0,0.0,0.0,0.0
11,5,3018960,0.11666666666666665,0.4734829357255989,2,1,-2.0,173272.0,0.11666666666666665,0.011124564932189274
11,5,3018960,0.11666666666666665,0.47348293572559913,2,2,0.0,0.0,0.0,2.220446049250313e-16
11,5,3017719,0.0,0.47352744818761444,2,3,0.0,-1241.0,-0.11666666666666665,4.451246201531145e-05
12,6,620626,0.0,0.2641679917850673,1,0,0.0,0.0,0.0,0.0
12,1,603792,0.0,0.0,1,1,-5.0,-16834.0,0.0,-0.2641679917850673
12,1,603792,0.0,0.0,1,2,0.0,0.0,0.0,0.0
12,1,603287,0.0,0.0,1,3,0.0,-505.0,0.0,0.0
13,6,684690,0.0,0.3123596167510407,1,0,0.0,0.0,0.0,0.0
13,1,603792,0.0,0.0,1,1,-5.0,-80898.0,0.0,-0.3123596167510407
13,1,603792,0.0,0.0,1,2,0.0,0.0,0.0,0.0
13,1,603698,0.0,0.0,1,3,0.0,-94.0,0.0,0.0
14,6,1203060,0.0,0.5146529811218873,1,0,0.0,0.0,0.0,0.0
14,2,1207584,0.2,0.0,1,1,-4.0,4524.0,0.2,-0.5146529811218873
14,2,1207584,0.2,0.0,1,2,0.0,0.0,0.0,0.0
14,2,1207264,0.2,0.0,1,3,0.0,-320.0,0.0,0.0
15,7,200468,0.47619047619047616,0.035390825172500015,2,0,0.0,0.0,0.0,0.0
16,6,1110417,0.6,0.46413195460969914,1,0,0.0,0.0,0.0,0.0
16,2,1207584,0.2,0.0,1,1,-4.0,97167.0,-0.39999999999999997,-0.46413195460969914
16,2,1207584,0.2,0.0,1,2,0.0,0.0,0.0,0.0
16,2,1206902,0.2,0.0,1,3,0.0,-682.0,0.0,0.0
17,1,1212167,0.0,0.0,-1,0,0.0,0.0,0.0,0.0
18,6,1822388,0.0,0.33874235599500463,2,0,0.0,0.0,0.0,0.0
18,3,1811376,0.0,0.32923618721820397,2,1,-3.0,-11012.0,0.0,-0.00950616877680066
18,3,1811376,0.0,0.3292361872182039,2,2,0.0,0.0,0.0,-5.551115123125783e-17
18,3,1810851,0.0,0.3293173380848271,2,3,0.0,-525.0,0.0,8.115086662319193e-05
19,6,703561,0.0,0.09371000852868981,1,0,0.0,0.0,0.0,0.0
19,1,603792,0.0,0.0,1,1,-5.0,-99769.0,0.0,-0.09371000852868981
19,1,603792,0.0,0.0,1,2,0.0,0.0,0.0,0.0
19,1,603400,0.0,0.0,1,3,0.0,-392.0,0.0,0.0
