cow_i,cow_j,start_ts,end_ts,initial_loc_cow_i_x_cm,initial_loc_cow_i_y_cm,initial_loc_cow_i_z_cm,initial_loc_cow_j_x_cm,initial_loc_cow_j_y_cm,initial_loc_cow_j_z_cm
T01,T02,1690093316.0,1690093451.0,-119.9,-91.3,131.6,34.1,20.2,86.5
T01,T02,1690093481.0,1690095236.0,-59.3,-52.4,138.5,9.7,21.0,92.9
T01,T02,1690095266.0,1690101221.0,-113.5,-19.1,103.0,-19.5,17.6,89.5
T01,T02,1690101251.0,1690101311.0,-101.0,-17.7,83.2,62.0,63.9,127.7
T01,T02,1690102826.0,1690103456.0,96.6,-94.1,125.9,58.2,27.2,66.7
T01,T02,1690103486.0,1690104056.0,190.6,-44.7,140.9,-6.5,-13.2,59.2
T01,T02,1690120241.0,1690120316.0,574.2,-618.4,144.3,507.2,-696.7,130.5
T01,T02,1690131881.0,1690131971.0,-463.3,133.9,143.8,-320.9,20.0,66.2
T01,T02,1690136081.0,1690136246.0,-113.4,-25.2,94.7,-291.6,43.6,93.2
T01,T02,1690136276.0,1690136456.0,-110.9,-63.9,75.6,-279.6,93.3,103.8
T01,T02,1690145351.0,1690145486.0,-541.7,-704.4,86.7,-748.5,-702.2,127.6
T01,T02,1690145516.0,1690145681.0,-580.6,-730.8,100.7,-734.1,-751.6,86.3
T01,T02,1690145741.0,1690145846.0,-511.0,-694.2,142.0,-753.5,-704.5,87.8
T01,T02,1690145891.0,1690146206.0,-524.1,-708.1,147.5,-661.7,-735.0,86.2
T01,T02,1690146986.0,1690147121.0,-493.5,-47.8,153.4,-337.7,37.1,71.1
T01,T02,1690148471.0,1690148771.0,-165.6,88.5,88.8,-351.0,16.0,93.8
T01,T02,1690165076.0,1690165511.0,132.7,-31.4,82.2,-77.9,49.4,108.5
T01,T02,1690174181.0,1690174241.0,519.3,-32.2,95.7,277.4,-7.6,70.6
T01,T02,1690174541.0,1690174616.0,519.1,-29.2,95.5,334.9,-41.3,87.7
T01,T02,1690177856.0,1690178066.0,210.2,-243.0,104.2,194.1,-66.7,99.1
T01,T02,1690178096.0,1690178216.0,241.1,-28.9,90.0,365.2,-229.8,89.3
T01,T02,1690178246.0,1690178606.0,270.9,-39.3,108.5,371.7,-235.5,98.2
T01,T02,1690184006.0,1690186121.0,-109.4,227.2,120.8,-75.0,43.2,92.4
T01,T02,1690192571.0,1690192766.0,-479.7,-611.1,128.0,-370.4,-727.6,89.1
T01,T02,1690194656.0,1690194896.0,-17.3,-539.3,107.0,84.9,-417.9,105.1
T01,T02,1690194926.0,1690195616.0,-6.2,-511.4,133.8,114.3,-413.3,106.5
T01,T02,1690227176.0,1690227596.0,-61.7,-50.2,90.5,147.0,-14.8,92.0
T01,T02,1690227896.0,1690228211.0,-87.5,-55.6,148.3,144.1,-9.5,93.9
T01,T02,1690228586.0,1690228691.0,-79.7,-23.8,133.8,136.8,-30.4,91.1
T01,T02,1690228901.0,1690229006.0,-89.7,-45.9,156.5,131.2,-12.0,88.1
T01,T02,1690229381.0,1690229441.0,-68.8,-47.5,90.2,152.5,-5.4,87.2
T01,T02,1690229756.0,1690230506.0,42.3,-72.7,73.8,138.6,-24.9,92.2
T01,T02,1690242866.0,1690243166.0,-450.1,2.4,156.7,-303.0,26.8,73.2
T01,T02,1690248656.0,1690248716.0,367.5,-35.0,85.6,237.3,104.6,94.1
T01,T02,1690248836.0,1690248941.0,376.5,-84.8,68.9,149.4,7.7,70.8
T01,T02,1690248986.0,1690249046.0,360.4,-34.7,59.9,149.3,42.8,88.3
T01,T02,1690249241.0,1690249301.0,363.2,-34.0,72.6,146.9,20.0,87.3
T01,T02,1690249436.0,1690249496.0,369.7,-14.1,70.6,145.4,25.4,85.8
T01,T02,1690249961.0,1690250066.0,375.8,-34.4,76.2,137.7,25.3,87.6
T01,T02,1690250201.0,1690250261.0,364.4,-32.8,88.6,136.8,10.6,82.1
T01,T02,1690250396.0,1690250546.0,347.6,-29.0,81.0,141.1,27.4,91.1
T01,T02,1690250621.0,1690250861.0,346.1,-26.3,70.5,162.1,20.1,86.2
T01,T02,1690251686.0,1690251746.0,367.0,-34.0,87.3,136.9,20.8,84.6
T01,T02,1690267901.0,1690268231.0,-305.4,-24.6,83.2,-86.4,-19.9,90.0
T01,T02,1690268321.0,1690268501.0,-343.6,-57.5,103.7,-108.4,-5.0,79.7
T01,T02,1690268576.0,1690268816.0,-313.1,-30.9,100.6,-123.3,-19.2,59.1
T01,T02,1690268891.0,1690269251.0,-324.0,-22.4,90.5,-101.9,-6.5,83.9
T01,T02,1690269326.0,1690269431.0,-335.8,-17.0,97.7,-115.9,5.0,75.6
T01,T02,1690269956.0,1690270016.0,-319.2,-26.4,98.1,-106.7,-36.4,82.8
T01,T02,1690270061.0,1690270136.0,-330.8,-13.0,98.8,-98.2,-17.2,108.0
T01,T02,1690270346.0,1690270481.0,-306.1,-4.5,68.2,-107.4,-14.9,91.9
T01,T02,1690270511.0,1690270631.0,-344.7,-30.1,87.1,-95.7,-12.6,96.2
T01,T02,1690270796.0,1690270871.0,-272.3,-18.9,44.1,-85.1,-21.2,86.2
T01,T02,1690271096.0,1690271276.0,-281.8,-66.2,39.1,-112.7,-17.7,80.2
T01,T02,1690271366.0,1690271636.0,-289.5,-59.8,69.6,-114.5,-4.1,73.9
T01,T02,1690274186.0,1690274336.0,-282.7,-95.3,148.8,-114.1,3.0,74.0
T01,T02,1690274366.0,1690274486.0,-308.8,-61.1,163.2,-110.3,-9.4,80.9
T01,T02,1690274516.0,1690274831.0,-312.3,-52.9,146.0,-128.1,-23.7,57.6
T01,T02,1690274876.0,1690275011.0,-313.4,-50.7,160.4,-111.1,-18.7,85.9
T01,T02,1690275101.0,1690275446.0,-305.8,-43.2,108.7,-97.9,-46.7,83.3
T01,T02,1690280366.0,1690280561.0,-420.5,-306.7,126.3,-626.9,-320.0,87.7
T01,T02,1690288391.0,1690288496.0,282.6,-700.3,115.8,123.6,-711.1,90.0
T01,T02,1690292501.0,1690292591.0,29.1,44.3,103.5,-209.1,76.7,123.4
T01,T02,1690292696.0,1690292951.0,4.4,49.2,100.4,-200.2,75.5,109.2
T01,T02,1690293161.0,1690293236.0,21.5,43.9,104.8,-224.1,68.6,140.6
T01,T02,1690293296.0,1690293476.0,33.8,47.0,103.1,-196.9,88.5,136.8
T01,T02,1690293506.0,1690293566.0,24.2,46.8,105.3,-216.2,80.9,127.6
T01,T02,1690293836.0,1690293896.0,16.1,50.7,90.8,-190.6,4.9,84.1
T01,T02,1690294046.0,1690294196.0,-22.2,62.6,100.5,-208.4,17.9,91.7
T01,T02,1690294226.0,1690294316.0,19.9,53.2,102.5,-206.0,31.7,96.1
T01,T02,1690294421.0,1690294721.0,28.4,46.6,98.7,-171.7,16.8,73.4
T01,T02,1690294931.0,1690295081.0,18.8,37.6,102.7,-206.0,8.4,71.0
T01,T02,1690324781.0,1690327571.0,223.3,-97.3,87.2,398.5,30.1,70.7
T01,T02,1690327601.0,1690327661.0,286.3,-15.6,62.0,460.3,66.8,113.4
T01,T02,1690327691.0,1690327871.0,245.9,-15.0,100.8,454.9,60.3,125.4
T01,T02,1690327976.0,1690328186.0,243.9,-23.4,95.8,406.0,121.1,148.4
T01,T02,1690330646.0,1690330886.0,253.1,-18.9,94.1,60.1,102.4,136.4
T01,T02,1690331156.0,1690331621.0,245.8,-23.0,102.3,59.1,78.2,111.8
T01,T02,1690331651.0,1690331786.0,254.8,-4.9,88.3,31.0,3.6,77.4
T01,T02,1690331816.0,1690332146.0,244.5,-11.5,90.3,12.7,28.3,92.7
T01,T02,1690332206.0,1690332266.0,269.2,-9.4,66.0,24.2,27.2,80.4
T01,T02,1690332641.0,1690332851.0,254.4,-5.2,82.9,25.3,38.2,84.5
T01,T02,1690332881.0,1690332941.0,188.5,-39.8,56.7,29.3,32.4,83.5
T01,T02,1690338371.0,1690344491.0,50.1,-81.5,110.3,27.0,20.9,79.6
T01,T02,1690347926.0,1690347986.0,10.5,-39.5,92.3,-215.5,6.7,90.3
T01,T02,1690348016.0,1690348166.0,12.8,-38.8,87.0,-220.1,18.6,95.8
T01,T02,1690348196.0,1690348691.0,-1.4,-29.1,104.2,-228.2,17.1,97.2
T01,T02,1690348781.0,1690348856.0,12.4,-33.3,99.3,-170.0,36.7,59.6
T01,T02,1690349066.0,1690349186.0,2.0,-34.8,104.4,-212.3,14.7,73.9
T01,T02,1690349216.0,1690349351.0,27.2,-31.9,91.4,-208.6,12.4,79.0
T01,T02,1690349381.0,1690349456.0,22.9,-31.9,92.2,-205.6,-7.6,67.9
T01,T02,1690350266.0,1690350371.0,17.5,-33.5,106.6,-205.4,42.8,123.5
T01,T02,1690350401.0,1690350701.0,30.4,-39.6,97.6,-191.5,54.0,136.8
T01,T02,1690350731.0,1690350866.0,15.8,-26.9,96.9,-168.1,4.0,74.1
T01,T02,1690350896.0,1690350956.0,26.7,-39.6,98.2,-208.1,-20.1,46.9
T01,T02,1690350986.0,1690351436.0,15.9,-38.4,96.4,-219.2,8.0,78.4
T01,T02,1690351571.0,1690351796.0,87.2,-49.9,87.2,-119.1,16.4,44.2
T01,T02,1690351826.0,1690352231.0,35.4,-30.8,103.6,-202.2,26.0,77.0
T01,T02,1690352261.0,1690352711.0,39.8,-38.7,75.4,-177.3,25.8,60.8
T01,T02,1690352816.0,1690353176.0,19.7,-36.3,99.3,-202.0,68.4,77.8
T01,T02,1690354001.0,1690354061.0,15.8,-24.1,85.1,-178.3,22.6,50.5
T01,T02,1690354526.0,1690354601.0,10.1,-75.1,115.2,-205.2,40.1,94.7
T01,T02,1690355036.0,1690355126.0,42.6,-18.9,98.7,-165.9,28.2,67.8
T01,T02,1690355156.0,1690355216.0,54.1,-25.3,87.0,-173.2,22.1,60.5
T01,T02,1690355276.0,1690355411.0,16.4,-44.0,93.1,-199.3,40.1,93.4
T01,T02,1690355456.0,1690355651.0,11.9,-18.1,94.9,-207.3,18.8,70.3
T01,T02,1690355681.0,1690355786.0,17.9,-29.2,99.6,-196.3,24.1,72.6
T01,T02,1690355816.0,1690356131.0,31.2,-25.0,99.0,-167.3,25.3,58.8
T01,T02,1690356161.0,1690356251.0,-23.1,-31.7,99.5,-201.3,15.7,71.7
T01,T02,1690356281.0,1690356416.0,-2.1,-26.9,99.4,-204.2,21.2,70.2
T01,T02,1690356446.0,1690357316.0,-2.8,-40.2,97.3,-194.1,28.6,85.7
T01,T02,1690357346.0,1690357451.0,10.4,-21.3,102.5,-193.2,71.7,74.9
T01,T02,1690357481.0,1690357556.0,33.1,-19.5,78.4,-193.8,72.6,70.7
T01,T02,1690358021.0,1690358081.0,40.8,-5.2,111.1,-195.2,8.8,60.5
T01,T02,1690362851.0,1690363241.0,-358.8,-147.3,107.4,-216.8,21.9,101.9
T01,T02,1690363271.0,1690363376.0,-309.3,-46.5,160.2,-223.0,27.1,94.0
T01,T02,1690363406.0,1690363541.0,-349.0,-25.6,127.6,-145.9,50.3,70.7
T01,T02,1690386461.0,1690386611.0,-310.9,242.8,75.5,-440.8,169.3,136.2
T01,T02,1690387781.0,1690387841.0,-404.0,-221.1,100.9,-486.1,-28.7,123.1
T01,T02,1690387871.0,1690388396.0,-385.6,-218.0,105.9,-456.5,-31.4,148.1
T01,T02,1690397651.0,1690397726.0,-409.1,-161.6,113.9,-604.8,-301.4,124.9
T01,T02,1690397756.0,1690397936.0,-581.3,-364.6,83.2,-517.6,-345.8,63.7
T01,T02,1690407956.0,1690408331.0,2.4,60.9,97.4,-209.5,42.6,76.6
T01,T02,1690408391.0,1690408646.0,14.9,45.4,99.0,-139.3,36.9,63.5
T01,T02,1690408676.0,1690408901.0,36.8,55.6,82.4,-203.3,25.7,80.9
T01,T02,1690408991.0,1690409051.0,23.8,42.0,85.3,-187.4,14.3,66.8
T01,T02,1690409096.0,1690409261.0,17.3,42.2,89.7,-209.2,23.9,88.7
T01,T02,1690409291.0,1690409396.0,-10.5,118.0,41.4,-198.9,24.5,81.3
T01,T02,1690409426.0,1690409486.0,-24.1,29.7,89.8,-241.4,6.9,46.5
T01,T02,1690409516.0,1690409576.0,24.8,48.4,96.1,-204.2,44.5,78.7
T01,T02,1690413791.0,1690414541.0,-178.3,-91.5,144.7,-244.5,82.7,120.0
T01,T02,1690417211.0,1690417301.0,-235.9,-33.6,90.7,-444.9,-135.9,122.1
T01,T02,1690422146.0,1690426076.0,479.5,-129.0,135.6,404.3,30.6,88.3
T01,T02,1690426106.0,1690426856.0,518.6,-17.2,97.4,407.5,25.1,71.2
T01,T02,1690457861.0,1690457936.0,23.1,-22.2,76.5,132.9,113.3,102.8
T01,T02,1690457966.0,1690458086.0,29.9,-25.4,78.2,175.2,-8.5,96.1
T01,T02,1690458146.0,1690458206.0,22.4,-41.9,79.3,190.7,9.0,130.9
T01,T02,1690458236.0,1690458341.0,33.0,-35.5,82.3,152.9,31.3,105.0
T01,T02,1690458371.0,1690458446.0,24.5,-29.6,76.5,140.6,35.0,97.4
T01,T02,1690458476.0,1690458566.0,20.0,-31.6,77.2,139.9,-6.4,160.9
T01,T02,1690458596.0,1690458896.0,33.8,-37.1,82.4,117.0,28.0,91.3
T01,T02,1690459076.0,1690459436.0,45.4,-52.6,101.7,163.0,15.0,94.0
T01,T02,1690459466.0,1690459631.0,30.2,-37.6,88.8,192.7,25.7,176.5
T01,T02,1690459661.0,1690459781.0,9.3,-80.7,65.8,132.5,36.8,102.3
T01,T02,1690460006.0,1690460246.0,30.8,-32.2,91.7,137.7,81.0,131.1
T01,T02,1690460276.0,1690460576.0,10.4,-30.6,77.4,145.5,12.9,65.4
T01,T02,1690460606.0,1690461086.0,14.5,-29.3,78.5,73.1,12.1,75.7
T01,T02,1690461116.0,1690461176.0,22.1,-21.6,94.7,154.2,66.0,15.8
T01,T02,1690461296.0,1690461356.0,9.5,-33.2,84.1,175.2,113.3,54.3
T01,T02,1690461386.0,1690461641.0,4.2,-32.8,84.6,134.0,30.2,90.1
T01,T02,1690461671.0,1690463441.0,83.0,0.3,59.4,260.4,66.4,164.4
T01,T02,1690468541.0,1690468646.0,-523.5,-279.6,101.3,-535.6,-304.3,121.7
T01,T02,1690471196.0,1690471436.0,-403.0,-255.9,127.5,-535.0,-263.1,117.5
T01,T02,1690471841.0,1690471976.0,-170.5,77.5,86.7,-239.8,79.0,56.1
T01,T02,1690472411.0,1690472486.0,-462.8,234.5,106.3,-319.0,51.3,95.8
T01,T02,1690476986.0,1690477541.0,53.6,80.6,80.7,160.0,193.5,108.5
T01,T02,1690481756.0,1690481906.0,-124.9,-700.9,128.9,-329.6,-714.6,103.6
T01,T02,1690492946.0,1690493006.0,-278.8,-729.8,90.8,-68.0,-699.0,126.4
T01,T02,1690506461.0,1690506566.0,-436.2,-211.2,79.7,-399.7,-237.1,72.7
T01,T02,1690506911.0,1690511666.0,481.5,-93.5,102.8,410.3,48.7,81.5
T01,T02,1690511771.0,1690514156.0,352.2,-22.7,87.1,538.7,41.2,71.4
T01,T02,1690514186.0,1690514501.0,372.4,-18.3,90.1,527.7,55.3,125.3
T01,T02,1690514531.0,1690514861.0,371.8,-29.6,102.8,507.4,133.2,118.1
T01,T02,1690520201.0,1690520276.0,696.0,119.9,124.3,570.2,-41.3,148.6
T01,T02,1690532306.0,1690532696.0,-223.6,-29.1,97.1,-331.6,-197.7,77.1
T01,T02,1690532726.0,1690535996.0,-215.1,-23.1,91.0,-337.6,-20.7,90.8
T01,T02,1690538861.0,1690540241.0,287.1,-42.6,87.7,385.4,-18.5,84.5
T01,T02,1690559366.0,1690559426.0,376.7,-709.8,130.1,288.1,-714.5,129.4
T01,T02,1690559771.0,1690560071.0,103.5,-551.6,118.5,269.3,-718.7,78.7
T01,T02,1690561991.0,1690562051.0,-270.3,-249.1,113.5,-495.9,-265.9,119.7
T01,T02,1690565096.0,1690565456.0,-345.8,-32.3,86.8,-442.1,54.8,111.9
T01,T02,1690565681.0,1690565741.0,-342.0,-25.4,90.7,-452.8,118.0,120.8
T01,T02,1690565771.0,1690565831.0,-338.3,-20.5,87.9,-439.0,128.9,103.4
T01,T02,1690568801.0,1690569296.0,-316.2,-73.1,75.5,-452.4,-60.9,119.7
T01,T02,1690574876.0,1690576271.0,-115.3,-39.9,70.4,-149.1,48.8,70.5
T01,T02,1690592321.0,1690594826.0,-307.3,-80.9,134.2,-202.5,7.0,66.1
T01,T02,1690594856.0,1690595006.0,-332.9,-29.1,86.0,-189.5,138.1,127.8
T01,T02,1690597616.0,1690597706.0,-334.6,-52.2,47.7,-129.5,-29.1,76.7
T01,T02,1690598231.0,1690598531.0,-48.6,-598.1,128.2,146.6,-491.0,51.8
T01,T02,1690601021.0,1690601906.0,345.2,108.6,145.4,368.0,-13.2,78.8
T01,T02,1690610891.0,1690616876.0,269.7,-97.2,100.3,355.5,-40.5,76.4
T01,T02,1690629026.0,1690631201.0,-18.3,182.6,102.9,153.5,37.3,77.9
T01,T02,1690634891.0,1690639526.0,169.7,-30.9,78.9,82.2,67.3,113.0
T01,T02,1690639556.0,1690640141.0,144.6,-27.3,94.4,120.8,41.8,91.2
T01,T02,1690640171.0,1690640501.0,142.3,-82.1,60.5,150.6,129.7,143.3
T01,T02,1690640531.0,1690641266.0,112.2,-89.5,69.2,142.0,122.4,125.3
T01,T02,1690641296.0,1690641356.0,132.7,-60.4,85.3,124.8,132.6,119.4
T01,T02,1690641386.0,1690641791.0,132.3,-85.4,58.2,137.7,131.5,115.0
T01,T02,1690665461.0,1690665521.0,-703.2,-585.6,98.8,-678.8,-687.8,132.3
T01,T02,1690687631.0,1690687991.0,517.3,-51.3,89.9,554.5,102.7,117.1
T01,T02,1690688021.0,1690695446.0,509.4,-35.5,96.1,555.8,20.8,101.4
T01,T02,1690698596.0,1690701716.0,432.2,72.1,99.8,390.1,298.8,105.7
T01,T02,1690701836.0,1690702061.0,421.3,88.1,63.6,412.4,302.8,96.3
T01,T02,1690702091.0,1690702151.0,442.4,52.5,94.5,614.8,-80.0,137.0
T01,T02,1690715636.0,1690715786.0,363.1,-39.3,81.1,173.6,42.5,78.7
T01,T02,1690716101.0,1690716176.0,361.2,-47.6,95.3,136.4,27.9,76.9
T01,T02,1690718291.0,1690718366.0,360.9,-41.3,90.2,134.9,47.7,92.1
T01,T02,1690731566.0,1690732511.0,-451.5,187.4,92.0,-356.6,48.7,107.1
T01,T02,1690762376.0,1690767266.0,128.6,-32.4,87.8,49.0,79.2,94.7
T01,T02,1690774676.0,1690774811.0,474.7,-200.1,87.5,531.7,39.5,87.0
T01,T02,1690774931.0,1690781066.0,521.4,-187.4,111.5,535.6,53.1,75.8
T01,T02,1690781096.0,1690781231.0,525.4,-24.3,99.5,470.6,107.4,-6.1
T01,T02,1690781261.0,1690781366.0,533.4,-8.8,116.1,498.1,-8.2,206.2
T01,T02,1690781396.0,1690781456.0,499.4,-27.6,98.6,520.7,104.4,54.7
T01,T02,1690781486.0,1690781711.0,507.0,-27.6,101.1,508.6,80.2,97.4
T01,T02,1690781816.0,1690781936.0,505.1,-24.7,95.7,535.5,52.4,79.3
T01,T02,1690782086.0,1690782146.0,488.0,-20.9,85.6,538.0,60.8,81.4
T01,T02,1690782266.0,1690782656.0,449.0,-13.7,81.0,574.4,63.1,144.2
T01,T02,1690783721.0,1690783961.0,715.5,45.3,168.7,530.0,55.7,78.4
T01,T02,1690789451.0,1690789541.0,-334.3,-15.7,92.5,-101.1,29.5,76.2
T01,T02,1690829111.0,1690829216.0,-225.5,-17.4,103.8,-441.8,79.6,137.9
T01,T02,1690829276.0,1690829366.0,-298.3,-2.4,35.2,-450.7,86.3,124.5
T01,T02,1690829606.0,1690831046.0,-204.6,-21.5,76.3,-89.7,27.4,75.0
T01,T02,1690831076.0,1690831226.0,-225.8,-9.4,85.1,-83.3,18.1,67.2
T01,T02,1690831256.0,1690832741.0,-210.9,-15.1,87.8,-78.2,18.8,66.4
T01,T02,1690832771.0,1690833461.0,-199.8,-15.1,88.4,-36.4,34.9,85.4
T01,T02,1690833491.0,1690835486.0,-213.5,-15.4,77.4,-23.2,40.6,83.6
T01,T02,1690841456.0,1690841936.0,400.1,40.1,84.6,464.1,-18.4,59.9
T01,T02,1690843796.0,1690843961.0,298.6,106.4,127.5,467.7,-27.5,73.7
T01,T02,1690844006.0,1690844081.0,290.1,38.2,101.3,525.8,-38.6,102.2
T01,T02,1690844111.0,1690844291.0,223.8,-1.0,68.6,466.5,-21.7,58.5
T01,T02,1690844591.0,1690844651.0,236.5,36.2,101.7,460.1,-25.9,54.1
T01,T02,1690844936.0,1690845056.0,268.6,24.7,96.2,465.2,-35.0,68.2
T01,T02,1690845221.0,1690845446.0,265.4,26.8,97.0,471.7,-25.7,71.2
T01,T02,1690845476.0,1690845656.0,243.5,46.3,77.1,471.3,-6.8,64.8
T01,T02,1690845761.0,1690845941.0,261.9,32.4,104.8,486.7,-31.3,85.0
T01,T02,1690849691.0,1690850036.0,482.6,-700.6,89.5,260.4,-721.1,99.0
T01,T02,1690850066.0,1690850291.0,420.3,-684.1,149.6,285.5,-706.7,121.3
T01,T02,1690850321.0,1690850801.0,422.4,-726.4,99.9,204.0,-684.9,52.4
T01,T02,1690854056.0,1690854116.0,234.9,-71.2,115.8,399.3,102.2,114.7
T01,T02,1690854176.0,1690854236.0,292.0,-37.5,101.3,395.4,107.3,125.4
T01,T02,1690854266.0,1690854491.0,260.9,-40.7,96.6,394.8,97.3,116.0
T01,T02,1690857221.0,1690858451.0,18.0,31.2,93.8,162.4,61.1,96.6
T01,T02,1690866431.0,1690873721.0,162.1,-141.6,-3.6,169.9,55.5,71.5
T01,T02,1690879211.0,1690881266.0,181.0,-37.4,139.2,264.5,196.6,121.1
T01,T02,1690886246.0,1690886636.0,-198.6,-222.4,150.4,-201.8,-21.0,80.5
T01,T02,1690887296.0,1690887356.0,-443.6,-8.3,161.8,-225.4,-28.3,88.7
T01,T02,1690887401.0,1690887461.0,-440.4,2.3,159.8,-215.5,-8.1,74.3
T01,T02,1690887551.0,1690887641.0,-447.4,-8.9,140.0,-226.3,-26.5,80.5
T01,T02,1690895291.0,1690895396.0,522.0,-600.8,129.9,628.3,-787.8,122.6
T01,T02,1690895426.0,1690895576.0,512.0,-712.5,122.0,692.7,-730.5,93.3
T01,T02,1690896251.0,1690896476.0,-443.1,-20.4,118.8,-386.2,-70.1,114.1
T01,T02,1690907981.0,1690908071.0,-463.5,12.2,149.3,-296.5,51.5,92.7
T01,T02,1690919276.0,1690919411.0,-122.8,-4.6,86.5,90.5,104.3,142.9
T01,T02,1690919441.0,1690919636.0,-121.1,1.6,88.7,37.2,54.4,90.2
T01,T02,1690938701.0,1690940756.0,393.7,58.4,103.9,522.5,43.5,104.2
T01,T02,1690940786.0,1690946426.0,406.9,-25.6,52.7,522.1,22.1,77.1
T01,T02,1690946471.0,1690954136.0,333.6,14.0,61.4,532.9,76.1,114.4
T01,T02,1690954646.0,1690954781.0,213.5,-668.9,137.1,400.9,-696.7,118.3
T01,T02,1690961081.0,1690961156.0,-214.8,-30.8,100.8,25.6,34.1,87.1
T01,T02,1690965086.0,1690965146.0,-97.6,327.9,103.4,-150.1,87.2,95.2
T01,T02,1690965191.0,1690965326.0,-99.9,305.6,124.4,-73.8,108.5,100.3
T01,T02,1690965701.0,1690965791.0,-123.4,298.8,140.6,-184.3,76.3,93.3
T01,T02,1690993256.0,1690993391.0,88.3,-79.2,113.6,268.5,-32.7,87.1
T01,T02,1690993421.0,1690994261.0,111.1,-73.4,74.7,258.2,-20.8,100.2
T01,T02,1690995776.0,1690995941.0,-347.0,-275.1,139.1,-482.8,-179.4,146.9
T01,T02,1690998581.0,1690998971.0,223.9,-681.9,135.4,111.9,-705.3,104.7
T01,T02,1691002931.0,1691003216.0,18.7,-4.7,97.5,36.2,159.5,152.3
T01,T02,1691003246.0,1691003306.0,-83.6,46.7,104.7,20.7,7.9,69.3
T01,T02,1691003351.0,1691003426.0,-60.3,38.9,84.4,13.3,-8.9,96.3
T01,T02,1691003456.0,1691003636.0,-80.8,41.1,96.0,35.0,1.6,92.8
T01,T02,1691003666.0,1691003741.0,-82.6,56.3,102.7,34.2,-0.5,84.2
T01,T02,1691003771.0,1691003846.0,-38.7,61.0,112.4,4.6,4.1,92.1
T01,T02,1691003981.0,1691004626.0,18.2,32.4,89.7,15.3,12.4,103.0
T01,T02,1691004716.0,1691004836.0,-19.9,28.3,8.6,28.2,18.0,85.3
T01,T02,1691004866.0,1691005031.0,-59.5,58.0,88.0,28.3,20.8,96.7
T01,T02,1691009711.0,1691009771.0,-64.3,144.5,106.9,-297.0,118.8,120.7
T01,T02,1691032571.0,1691032631.0,22.0,-13.8,102.0,93.2,-73.4,120.6
T01,T02,1691032661.0,1691032961.0,1.5,-37.2,126.7,159.0,-77.4,113.0
T01,T02,1691033096.0,1691033291.0,10.8,-43.3,91.3,120.6,-19.0,89.8
T01,T02,1691033351.0,1691033561.0,36.2,-31.0,107.8,122.1,-35.5,95.1
T01,T02,1691033591.0,1691035601.0,9.3,-32.4,105.3,151.0,-49.1,71.0
T01,T02,1691035631.0,1691037971.0,7.6,-34.6,100.8,126.8,-14.9,91.6
T01,T02,1691038001.0,1691040596.0,30.0,-32.6,107.1,137.6,-19.2,93.5
T01,T02,1691040626.0,1691045036.0,17.3,-29.7,114.9,219.5,-68.4,129.2
T01,T02,1691045066.0,1691050721.0,22.0,-26.2,99.2,110.4,-30.3,96.0
T01,T02,1691050931.0,1691051051.0,-167.4,-704.4,83.2,-30.2,-512.5,102.1
T01,T02,1691052386.0,1691052476.0,-69.3,-771.9,117.9,-199.8,-659.0,132.8
